id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
1,"Leutschenbachstrasse 95,Zürich,8052,CHE","Leutschenbachstrasse 95,  World Trade Center,World Trade Center,Zürich,8050,CHE","Leutschenbachstrasse 95, Zürich, 8052, CHE","Leutschenbachstrasse 95, World Trade Center, Zürich, 8050, CHE",HIGH,85,"Both addresses have the same street name and number. The city is the same but the postal codes differ slightly. The addition of 'World Trade Center' in the second address is a minor variation. Overall, they are very likely the same location.",azure_openai_batch_with_standardization,2025-08-21T20:36:18.888643,success
2,"Leutschenbachstrasse 95,Zürich,8052,CHE","Leutschenbachstrasse 95,  World Trade Center,World Trade Center,Zürich,8050,CHE","Leutschenbachstrasse 95, Zürich, 8052, CHE","Leutschenbachstrasse 95, World Trade Center, Zürich, 8050, CHE",HIGH,85,"Both addresses have the same street name and number. The city is the same but the postal codes differ slightly. The addition of 'World Trade Center' in the second address is a minor variation. Overall, they are very likely the same location.",azure_openai_batch_with_standardization,2025-08-21T20:36:18.888643,success
3,"Switzerland Other Location,Switzerland Other Location,CHE","Harry Potter on Location Kings Cross 9 ¾  London,N1 9AP,GBR","Switzerland Other Location, Switzerland, CHE","Harry Potter on Location, Kings Cross 9 ¾, London, N1 9AP, GBR",NO_MATCH,0,The addresses are in completely different countries with no matching components. They are entirely different locations.,azure_openai_batch_with_standardization,2025-08-21T20:36:18.888643,success
4,"Lautengartenstrasse 6    ,Basel,4052,CHE","Lautengartenstrasse 6_x000D_
 _x000D_
 _x000D_,Basel,4052,CHE","Lautengartenstrasse 6, Basel, 4052, CHE","Lautengartenstrasse 6, Basel, 4052, CHE",EXACT,100,"Both addresses are identical after removing formatting issues. They have the same street name, number, city, and postal code. They are exactly the same location.",azure_openai_batch_with_standardization,2025-08-21T20:36:18.888643,success
5,"Espenstrasse 125,Widnau,9443,CHE","Espenstrasse 125,Widnau,9443,CHE","Espenstrasse 125, Widnau, 9443, CHE","Espenstrasse 125, Widnau, 9443, CHE",EXACT,100,"Both addresses are identical with the same street name, number, city, and postal code. They are exactly the same location.",azure_openai_batch_with_standardization,2025-08-21T20:36:18.888643,success
6,"Dysina,0,CHE","330 02 Dysina 292, Czech Republic,33701,CZE","Dysina, CHE","Dysina 292, 330 02, Czech Republic",LOW,30,"The addresses have the same city name but different formatting and additional details in the second address. The country codes are different, which significantly affects the match level.",azure_openai_batch_with_standardization,2025-08-21T20:36:36.980948,success
7,"Plzen,0,CHE","Na Pomezi 1280/30,30100,CZE","Plzen, CHE","Na Pomezi 1280/30, 30100, Plzen, CZE",LOW,30,"The addresses have the same city name but different formatting and additional details in the second address. The country codes are different, which significantly affects the match level.",azure_openai_batch_with_standardization,2025-08-21T20:36:36.981844,success
8,"Rothausstrasse 61,Muttenz,4132,CHE","Suurstoffi 14_x000D_
 _x000D_
 _x000D_,Rotkreuz,6343,CHE","Rothausstrasse 61, 4132 Muttenz, CHE","Suurstoffi 14, 6343 Rotkreuz, CHE",NO_MATCH,0,"The addresses have different street names, street numbers, and cities. They are completely different locations.",azure_openai_batch_with_standardization,2025-08-21T20:36:36.981844,success
9,"Wurmisweg 576,Kaiseraugst,4303,CHE","45 WATERVIEW BLVD_x000D_
 _x000D_
 _x000D_,PARISPPANY,07054,USA","Wurmisweg 576, 4303 Kaiseraugst, CHE","45 Waterview Blvd, 07054 Parsippany, USA",NO_MATCH,0,"The addresses are in completely different countries, with different street names, street numbers, and cities. They are entirely different locations.",azure_openai_batch_with_standardization,2025-08-21T20:36:36.981844,success
10,"Rothausstrasse 61,Muttenz,4132,CHE","Rothausstrasse 61, 4132 Muttenz,CH","Rothausstrasse 61, 4132 Muttenz, CHE","Rothausstrasse 61, 4132 Muttenz, CHE",EXACT,100,"The addresses are identical in all major components, with only minor formatting differences. They are the same location.",azure_openai_batch_with_standardization,2025-08-21T20:36:36.981844,success
11,"Attisholzstrasse 11    ,Luterbach,4542,CHE","Austraße 11
6250 Kundl
%1,Kundl,6250,AUT","Attisholzstrasse 11, Luterbach, 4542, CHE","Austraße 11, Kundl, 6250, AUT",NO_MATCH,0,"Different countries, cities, and street names.",azure_openai_batch_with_standardization,2025-08-21T20:36:52.791190,success
12,"Neuhofstrasse 30/32/34,Baar,6340,CHE","32/34 Eaton Square_x000D_
 _x000D_
 _x000D_,London,SW1W 9DH,GBR","Neuhofstrasse 30/32/34, Baar, 6340, CHE","32/34 Eaton Square, London, SW1W 9DH, GBR",NO_MATCH,0,"Different countries, cities, and street names.",azure_openai_batch_with_standardization,2025-08-21T20:36:52.791190,success
